ID,TITLE,RELEASE YEAR,GENRE,DURATION,COUNTRY,CONTENT RATING,DIRECTOR,INCOME,VOTES,SCORE
tt0111161,The Shawshank Redemption,10/02/1995,Drama,142,US,R,Frank Darabont,"$28,815,245",2278.84,9.3
tt0068646,The Godfather,21/09/1972,"Crime, Drama",175,US,R,Francis Ford Coppola,"$246,120,974",1572.67,9.2
tt0468569,The Dark Knight,23/07/2008,"Action, Crime, Drama",152,US,PG-13,Christopher Nolan,"$1,005,455,211",2241.61,9
tt0071562,The Godfather: Part II,25/09/1975,"Crime, Drama",220,US,R,Francis Ford Coppola,"$408,035,783",1098.71,9
tt0110912,Pulp Fiction,28/10/1994,"Crime, Drama",127,US,R,Quentin Tarantino,"$222,831,817",1780.15,8.9
tt0167260,The Lord of the Rings: The Return of the King,22/02/2004,"Action, Adventure, Drama",201,New Zealand,PG-13,Peter Jackson,"$1,142,271,098",1604.28,8.9
tt0108052,Schindler's List,11/03/1994,"Biography, Drama, History",127,US,R,Steven Spielberg,"$322,287,794",1183.25,8.9
tt0050083,12 Angry Men,04/09/1957,"Crime, Drama",96,US,Not Rated,Sidney Lumet,$576,668.47,8.9
tt1375666,Inception,24/09/2010,"Action, Adventure, Sci-Fi",148,US,PG-13,Christopher Nolan,"$869,784,991",2002.82,8.8
tt0137523,Fight Club,29/10/1999,Drama,127,UK,R,David Fincher,"$101,218,804",1807.44,8.8
tt0109830,Forrest Gump,06/10/1994,"Drama, Romance",142,US,PG-13,Robert Zemeckis,"$678,229,452",1755.49,8.8
tt0120737,The Lord of the Rings: The Fellowship of the Ring,18/01/2002,"Action, Adventure, Drama",178,New Zealand,PG-13,Peter Jackson,"$887,934,303",1619.92,8.8
tt0060196,"Il buono, il brutto, il cattivo",23/12/1966,Western,161,Italy,Approved,Sergio Leone,"$25,252,481",672.5,8.8
tt0133093,The Matrix,07/05/1999,"Action, Sci-Fi",127,US,R,"Lana Wachowski, Lilly Wachowski","$465,718,588",1632.32,8.7
tt0167261,The Lord of the Rings: The Two Towers,16/01/2003,"Action, Adventure, Drama",179,New Zealand,PG-13,Peter Jackson,"$951,227,416",1449.78,8.7
tt0080684,Star Wars: Episode V - The Empire Strikes Back,19/09/1980,"Action, Adventure, Fantasy",127,US,PG,Irvin Kershner,"$549,265,501",1132.07,8.7
tt0099685,Goodfellas,20/09/1990,"Biography, Crime, Drama",146,US,R,Martin Scorsese,"$46,879,633",991.5,8.7
tt0073486,One Flew Over the Cuckoo's Nest,18/11/1976,Drama,127,US,R,Milos Forman,"$108,997,629",891.07,8.7
tt0816692,Interstellar,06/11/2014,"Adventure, Drama, Sci-Fi",169,US,PG-13,Christopher Nolan,"$696,742,056",1449.26,8.6
tt0114369,Se7en,15/12/1995,"Crime, Drama, Mystery",127,US,R,David Fincher,"$327,333,559",1402.02,8.6
tt0102926,The Silence of the Lambs,05/03/1991,"Crime, Drama, Thriller",118,US,R,Jonathan Demme,"$272,753,884",1234.13,8.6
tt0076759,Star Wars,20/10/1977,"Action, Adventure, Fantasy",121,US,PG,George Lucas,"$775,768,912",1204.11,8.6
tt0120815,Saving Private Ryan,30/10/1998,"Drama, War",169,US,R,Steven Spielberg,"$482,349,603",1203.83,8.6
